"locus"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"PROKKA_01364_antis"	9.04251425961252	-0.0894566778254019	0.2856002208996	-0.310353900884858	0.756291846237001	0.999614234190279
"PROKKA_01365_igbot"	87.0141473451208	0.0423242015284601	0.266917606335202	0.158553234739191	0.874020875862174	0.999614234190279
"PROKKA_01365_sense"	1120.34716585144	0.153434895037874	0.218659503117793	0.701710348978075	0.482859817723786	0.999614234190279
"PROKKA_01365_antis"	17.5606774108903	-0.168872500575202	0.292098489912343	-0.575326579155502	0.565070449013561	0.999614234190279
"PROKKA_01366_igtop"	101.853392318085	-0.365042350361631	0.263411652762462	-1.38495160135294	0.166067266985199	0.999614234190279
"PROKKA_01366_igbot"	7.4947365968236	-0.0674411582820319	0.282808062805453	-0.235948369001153	0.813472734607586	NA
"PROKKA_01366_sense"	814.695525964268	-0.193405939900344	0.221813504376846	-0.871886668383612	0.383270207276048	0.999614234190279
"PROKKA_01366_antis"	3.91415664855086	-0.292630165501574	0.248855718530839	-1.19729824022268	0.231190330103527	NA
"PROKKA_01367_igtop"	90.1601868337349	-0.178303711623194	0.262401500307557	-0.678951953929367	0.497168305214773	0.999614234190279
"PROKKA_01367_igbot"	6.51631806857295	-0.182103367204707	0.272347942780809	-0.663999180134087	0.506690835825437	NA
"PROKKA_01367_sense"	4066.34734901785	-0.268677414481386	0.239272561205789	-1.1228957553303	0.261481770479464	0.999614234190279
"PROKKA_01367_antis"	31.3741491557529	-0.544091108914278	0.292049754400434	-1.86262616367181	0.0625148806611353	0.801631526165615
"PROKKA_01368_igtop"	621.533133741237	0.173303363414849	0.222401567456808	0.779254295304264	0.435829932092441	0.999614234190279
"PROKKA_01368_igbot"	1.52719350123137	-0.212278716361242	0.179485408770634	-1.29074742019501	0.196791275537819	NA
"PROKKA_01368_sense"	1961.28849661692	-0.146611753817261	0.218487561995696	-0.671006941788528	0.502216107290845	0.999614234190279
"PROKKA_01368_antis"	10.0946059205912	-0.436307707343669	0.283248079029296	-1.56519249027606	0.117537781839815	0.94083470220137
"PROKKA_01369_igtop"	83.0240855321645	0.154549016658497	0.267390213246145	0.578157174192688	0.563158009272182	0.999614234190279
"PROKKA_01369_sense"	1121.05505024897	0.0303950709026857	0.237019433810948	0.128238065692552	0.897960576678533	0.999614234190279
"PROKKA_01369_antis"	8.96984015671027	-0.152686017915085	0.188465801830461	-0.849170767279677	0.395786277034775	NA
"PROKKA_01370_sense"	1850.54478142059	0.41251381912459	0.259984573347712	1.58708723585552	0.112492888365903	0.935974512556201
"PROKKA_01370_antis"	10.3810748272975	-0.196724672035278	0.284191960865729	-0.696871333629251	0.485883319136985	0.999614234190279
"PROKKA_01371_igtop"	7.33950349929956	0.0307409584505939	0.285096792657376	0.108111343285541	0.913907370254996	NA
"PROKKA_01371_sense"	126.454274594233	-0.119947016105134	0.253468325002682	-0.473293843155426	0.636003554061219	0.999614234190279
"PROKKA_01372_sense"	26.8409726922238	-0.226127182810665	0.284078849920214	-0.796429193566278	0.425782615503878	0.999614234190279
"PROKKA_01372_antis"	2.54923662980453	-0.162634695329127	0.226850045700021	-0.727942367658082	0.466648866479361	NA
"PROKKA_01373_sense"	80.5616731930428	-0.0609107331390571	0.254849088230728	-0.239200517698638	0.81095010125007	0.999614234190279
"PROKKA_01374_igtop"	4.43062918032828	-0.26129748326169	0.26447074644126	-0.990721489196704	0.321821594970759	NA
"PROKKA_01374_sense"	520.788690975355	0.211669806117542	0.250974094452719	0.843507999144045	0.398944393943642	0.999614234190279
"PROKKA_01374_antis"	22.2648244615635	-0.0323321342377946	0.29210406661662	-0.110580643366187	0.911948897690638	0.999614234190279
"PROKKA_01375_igtop"	32.2283933486889	0.177753583320761	0.282734792572905	0.627480491812358	0.530344319872931	0.999614234190279
"PROKKA_01375_igbot"	11.8674976120667	0.575898354191003	0.291392182365983	1.99157366804201	0.0464178549060049	0.728725729351606
"PROKKA_01375_sense"	3548.69971846974	-0.0199353439200627	0.2305862972184	-0.0864540499771103	0.931105482055495	0.999614234190279
"PROKKA_01375_antis"	14.280114108957	-0.146004072988293	0.195381768639903	-0.767991887013018	0.442492004855571	0.999614234190279
"PROKKA_01376_igtop"	65.220752019792	0.0101306904609748	0.262537398325951	0.038600758148169	0.969208697829907	0.999614234190279
"PROKKA_01376_sense"	220.577783668617	-0.133671851673886	0.233605708400725	-0.572161278763486	0.567212717442172	0.999614234190279
"PROKKA_01376_antis"	1.75378456171395	-0.302536301803561	0.20021499107679	-1.58998285045045	0.111838670744394	NA
"PROKKA_01377_sense"	776.137299047211	-0.0388052936460667	0.234045826360955	-0.165783984275992	0.868326950398883	0.999614234190279
"PROKKA_01377_antis"	6.83604389994894	-0.0953329630659957	0.282828435890651	-0.338211708849435	0.735203652856038	NA
"PROKKA_01378_igtop"	659.19868285205	0.179893132804661	0.23565707583544	0.763408361874256	0.445219894613789	0.999614234190279
